batch,prawn.id,size,algae.id,colour,day,lws,mws,sws,sum(sml),ppn(sw),ppn(mw),ppn(lw),hue_sam,hue,xcoord,ycoord,jnd
3,B3R4,10.5625,u5,red,15,32294.052,30315.593,14768.631,77378.276,0.190862756,0.391784291,0.417352953,0.618274488,0.235884279,0.018079774,-0.174490109,3.650025912
3,B3R4,10.5625,u12,red,20,35485.131,33014.58,14941.867,83441.578,0.179069804,0.395661022,0.425269175,0.641860392,0.218130366,0.020936126,-0.188933467,2.726248731
3,B3R4,10.5625,u19,red,25,34146.442,31604.478,14292.731,80043.651,0.178561708,0.394840535,0.426597757,0.642876585,0.217376898,0.022455747,-0.189555755,3.346401833
3,B3R4,10.5625,u15,red,30,45741.756,42239.635,19684.149,107665.54,0.182826826,0.392322697,0.424850477,0.634346347,0.223730823,0.023000614,-0.184332072,3.909142461
4,B4R1,5.90625,u24,red,0,10033.15,8940.628,8868.621,27842.399,0.318529341,0.321115576,0.360355083,0.362941318,0.467414608,0.027746521,-0.018131114,12.14943984
4,B4R1,5.90625,u18,red,5,32392.67,31793.095,27928.587,92114.352,0.30319474,0.345148115,0.351657145,0.39361052,0.435121199,0.004602579,-0.036912088,11.62450502
4,B4R1,5.90625,u18,red,10,44034.549,42536.609,33047.374,119618.532,0.276273028,0.355602165,0.368124807,0.447453945,0.381736536,0.008854845,-0.069884317,10.23216965
4,B4R1,5.90625,u18,red,15,37831.764,35637.711,23743.71,97213.185,0.244243721,0.36659339,0.38916289,0.511512559,0.323177891,0.015959047,-0.109112046,8.471128299
4,B4R1,5.90625,u23,red,20,40475.533,38155.743,25558.028,104189.304,0.24530376,0.366215547,0.388480693,0.50939248,0.325036414,0.015743835,-0.107813769,8.489222451
4,B4R1,5.90625,u20,red,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R1,5.90625,u15,red,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R2,6.09375,u20,red,0,7174.873,5653.128,4390.626,17218.627,0.254992805,0.328314679,0.416692516,0.49001439,0.342268916,0.062492567,-0.09594716,9.552099903
4,B4R2,6.09375,u8,red,5,30364.492,29808.208,25691.416,85864.116,0.299210161,0.347155592,0.353634247,0.401579677,0.42696133,0.004581101,-0.04179218,11.49226172
4,B4R2,6.09375,u26,red,10,33817.887,31733.202,20488.398,86039.487,0.238127849,0.368821376,0.393050774,0.523744301,0.31255618,0.017132772,-0.116602428,7.077408973
4,B4R2,6.09375,u9,red,15,38586.213,35751.618,21244.031,95581.862,0.222260066,0.374041866,0.403698068,0.555479867,0.285776848,0.020970101,-0.136036414,5.484123699
4,B4R2,6.09375,u1,red,20,39697.249,36824,21927.919,98449.168,0.222733411,0.374040744,0.403225845,0.554533178,0.286559868,0.020636983,-0.135456688,5.637854878
4,B4R2,6.09375,u6,red,25,38574.7,35022.971,17465.368,91063.039,0.191794258,0.384601386,0.423604356,0.616411484,0.237308705,0.027579265,-0.173349257,5.214018894
4,B4R2,6.09375,u20,red,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R3,8.5,u9,red,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R3,8.5,u24,red,5,30032.626,29148.433,22310.464,81491.523,0.273776501,0.357686688,0.368536811,0.452446999,0.376986563,0.007672195,-0.072941925,9.675058185
4,B4R3,8.5,u22,red,10,31517.178,29046.502,13448.693,74012.373,0.181708712,0.392454678,0.42583661,0.636582575,0.222058716,0.02360459,-0.185701477,4.10819303
4,B4R3,8.5,u7,red,15,37268.548,35310.019,21701.261,94279.828,0.23017926,0.374523583,0.395297157,0.539641481,0.299003713,0.014689135,-0.126337423,6.37076135
4,B4R3,8.5,u25,red,20,40451.162,36874.114,17136.691,94461.967,0.181413658,0.390359371,0.428226971,0.637172683,0.221618233,0.026776437,-0.186062843,3.849760066
4,B4R3,8.5,u23,red,25,49113.14,45636.723,26407.409,121157.272,0.217959752,0.376673412,0.405366836,0.564080495,0.278706567,0.020289315,-0.141303202,6.854183189
4,B4R3,8.5,u3,red,30,51471.107,47601.885,26775.294,125848.286,0.212758511,0.378248179,0.40899331,0.574482977,0.270258256,0.02174009,-0.147673395,6.644124418
4,B4R4,6.625,u18,red,0,6915.158,5744.417,5059.051,17718.626,0.285521631,0.32420217,0.390276199,0.428956737,0.399622499,0.046721394,-0.058557137,11.08486505
4,B4R4,6.625,u5,red,5,23084.702,22033.764,14670.501,59788.967,0.245371374,0.368525584,0.386103041,0.509257251,0.325155137,0.012429139,-0.107730958,7.087318523
4,B4R4,6.625,u8,red,10,27409.218,26304.533,18068.793,71782.544,0.251715696,0.366447489,0.381836815,0.496568609,0.336390452,0.010881897,-0.099960783,8.948351789
4,B4R4,6.625,u6,red,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R4,6.625,u10,red,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R4,6.625,u16,red,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R4,6.625,u1,red,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,B5R1,7.375,u4,red,0,7681.489,6301.924,4948.689,18932.102,0.261391419,0.332869747,0.405738834,0.477217163,0.353897078,0.051526226,-0.088110491,9.14725147
5,B5R1,7.375,u14,red,5,18215.795,17661.447,13340.612,49217.854,0.271052289,0.358842281,0.37010543,0.457895421,0.371840511,0.007964249,-0.076278389,9.159623426
5,B5R1,7.375,u11,red,10,55734.474,52670.122,32990.306,141394.902,0.233320336,0.372503685,0.39417598,0.533359329,0.304325713,0.015324627,-0.122490406,6.031676194
5,B5R1,7.375,u1,red,15,59143.184,57866.547,47736.276,164746.007,0.289756801,0.351247038,0.358996161,0.420486398,0.407968428,0.005479457,-0.053370134,9.36804853
5,B5R1,7.375,u19,red,20,43737.833,42944.119,36263.596,122945.548,0.294956561,0.349293811,0.355749628,0.410086878,0.418352323,0.004564952,-0.047001755,10.32140697
5,B5R1,7.375,u22,red,25,46707.298,45791.113,39420.552,131918.963,0.298823998,0.347115471,0.35406053,0.402352003,0.426175451,0.004910898,-0.042265131,11.04580956
5,B5R1,7.375,u11,red,30,49795.356,48690.405,42336.789,140822.55,0.300639273,0.34575716,0.353603567,0.398721455,0.429877259,0.005548247,-0.040041883,9.711153873
5,B5R2,7.8125,u25,red,0,4280.932,3310.714,2944.082,10535.728,0.279437928,0.314236852,0.40632522,0.441124144,0.38780549,0.06511631,-0.066008122,10.45531339
5,B5R2,7.8125,u12,red,5,13030.317,12086.996,7152.885,32270.198,0.221656062,0.374555991,0.403787947,0.556687877,0.284779069,0.020670114,-0.136776166,5.608992091
5,B5R2,7.8125,u19,red,10,32980.87,30775.456,16171.564,79927.89,0.202326922,0.385040266,0.412632812,0.595346155,0.253646422,0.019510877,-0.16044943,4.995590351
5,B5R2,7.8125,u17,red,15,39071.879,35713.367,15173.931,89959.177,0.168675743,0.396995262,0.434328996,0.662648514,0.202900061,0.026398937,-0.20166354,2.283101014
5,B5R2,7.8125,u9,red,20,35520.763,32082.466,10524.258,78127.487,0.134706214,0.410642493,0.454651293,0.730587572,0.155676854,0.031118921,-0.243267545,1.085327851
5,B5R2,7.8125,u2,red,25,32538.604,29256.554,8722.549,70517.707,0.123693032,0.414882378,0.461424589,0.752613936,0.141152629,0.032910313,-0.256755884,0.740050218
5,B5R2,7.8125,u25,red,30,32684.667,29269.869,7847.823,69802.359,0.112429195,0.419324926,0.46824588,0.775141611,0.126670677,0.034592338,-0.270551211,2.191007563
5,B5R3,8.90625,u13,red,0,2260.668,1971.656,1889.496,6121.82,0.308649389,0.322070234,0.369280377,0.382701223,0.446444081,0.033382613,-0.030231535,10.62165669
5,B5R3,8.90625,u26,red,5,8656.098,8191.31,7078.656,23926.064,0.295855432,0.342359278,0.36178529,0.408289136,0.420162912,0.013736265,-0.045900867,10.25531492
5,B5R3,8.90625,u8,red,10,42204.742,41190.786,32288.683,115684.211,0.279110543,0.356062298,0.364827159,0.441778913,0.387175233,0.006197692,-0.066409084,10.44487107
5,B5R3,8.90625,u18,red,15,44656.065,42431.604,28148.14,115235.809,0.244265565,0.368215439,0.387518996,0.51146887,0.323216138,0.013649676,-0.109085292,8.459696693
5,B5R3,8.90625,u19,red,20,36197.956,33727.864,18349.978,88275.798,0.207870995,0.382073737,0.410055268,0.584258009,0.262420634,0.01978593,-0.153659355,5.36520226
5,B5R3,8.90625,u9,red,25,42183.986,39860.066,24155.742,106199.794,0.227455639,0.375330916,0.397213445,0.545088722,0.294424049,0.015473284,-0.129673163,5.770571638
5,B5R3,8.90625,u15,red,30,41233.026,37596.954,15937.759,94767.739,0.168177052,0.39672735,0.435095597,0.663645895,0.202178905,0.027130448,-0.202274308,2.847140143
5,B5R4,8.875,u10,red,0,4877.555,4315.391,4034.169,13227.115,0.304992358,0.326253382,0.36875426,0.390015283,0.438833101,0.030052659,-0.034710464,10.0120172
5,B5R4,8.875,u5,red,5,19406.093,18213.331,10766.725,48386.149,0.222516675,0.376416214,0.401067111,0.55496665,0.286201219,0.017430817,-0.135722134,5.736070568
5,B5R4,8.875,u5,red,10,29753.903,26962.438,10259.023,66975.364,0.153176069,0.402572474,0.444251456,0.693647861,0.180883019,0.029471491,-0.220646685,0.903680794
5,B5R4,8.875,u23,red,15,35487.384,31789.038,8947.269,76223.691,0.117381734,0.417049313,0.465568953,0.765236533,0.13299264,0.034308566,-0.264485614,1.119334069
5,B5R4,8.875,u2,red,20,28391.75,25500.096,7071.619,60963.465,0.115997655,0.418284886,0.465717459,0.768004689,0.131218719,0.033539894,-0.266180757,1.493949917
5,B5R4,8.875,u3,red,25,32254.487,28947.244,8338.641,69540.372,0.119910791,0.416265303,0.463823906,0.760178418,0.13624845,0.033629011,-0.261388164,0.74353084
5,B5R4,8.875,u13,red,30,27667.54,24650.9,5724.218,58042.658,0.09862088,0.424703155,0.476675965,0.80275824,0.109411099,0.036750326,-0.287462874,4.644896678
6,B6R2,13.28125,u14,red,0,2299.297,1722.213,1583.401,5604.911,0.282502434,0.307268572,0.410228994,0.434995132,0.393732951,0.072804012,-0.062254883,10.61142307
6,B6R2,13.28125,u4,red,5,15544.205,14624.136,11621.041,41789.382,0.278085974,0.349948607,0.371965419,0.443828052,0.385206498,0.015568238,-0.06766392,9.671411151
6,B6R2,13.28125,u4,red,10,27852.649,25839.602,13351.486,67043.737,0.19914591,0.385414107,0.415439984,0.60170818,0.248666907,0.021231501,-0.164345359,4.973751395
6,B6R2,13.28125,u4,red,15,36025.85,33044.188,14359.034,83429.072,0.172110676,0.396075219,0.431814104,0.655778648,0.207890924,0.025271208,-0.197456622,3.065284144
6,B6R2,13.28125,u19,red,20,35522.756,32182.519,12395.266,80100.541,0.154746346,0.40177655,0.443477105,0.690507309,0.183076813,0.029486745,-0.218723497,1.564787408
6,B6R2,13.28125,u17,red,25,35284.632,32125.332,13057.155,80467.119,0.162266963,0.399235519,0.438497518,0.675466075,0.1936977,0.027762426,-0.20951266,1.796181041
6,B6R2,13.28125,u19,red,30,48448.024,44095.088,18234.051,110777.163,0.164601173,0.398052151,0.437346676,0.670797653,0.197033043,0.027785425,-0.206653848,2.331865713
6,B6R3,6.15625,u16,red,0,4216.867,3625.282,3546.678,11388.827,0.311417322,0.318319174,0.370263505,0.377165357,0.452258431,0.036730189,-0.026841523,11.07918927
6,B6R3,6.15625,u7,red,5,19736.257,18559.307,10861.764,49157.328,0.220959203,0.377549142,0.401491656,0.558081595,0.283629822,0.016929914,-0.13762964,5.812934844
6,B6R3,6.15625,u20,red,10,27570.17,25263.39,11618.142,64451.702,0.180261213,0.391973978,0.427764809,0.639477573,0.219900798,0.02530794,-0.187474294,4.274053049
6,B6R3,6.15625,u7,red,15,38503.551,35311.826,16337.931,90153.308,0.181223866,0.391686415,0.427089719,0.637552268,0.221335061,0.025033917,-0.18629529,3.187819896
6,B6R3,6.15625,u7,red,20,41693.293,39958.341,28019.246,109670.88,0.255484829,0.364347774,0.380167397,0.489030342,0.343155974,0.011186163,-0.095344557,7.839949227
6,B6R3,6.15625,u26,red,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,B6R3,6.15625,u9,red,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,B6R4,7.875,u2,red,0,3337.06,2891.676,2838.742,9067.478,0.313068529,0.318906316,0.368025155,0.373862942,0.455749288,0.034732265,-0.024819215,12.07009802
6,B6R4,7.875,u16,red,5,19508.617,18856.988,14375.741,52741.346,0.272570613,0.357537102,0.369892285,0.454858774,0.374703879,0.008736434,-0.07441883,8.795382827
6,B6R4,7.875,u9,red,10,24227.788,22194.457,9762.128,56184.373,0.173751659,0.395029006,0.431219336,0.652496683,0.210289873,0.025590428,-0.195446838,2.205303218
6,B6R4,7.875,u22,red,15,26525.639,23859.667,7196.737,57582.043,0.124982314,0.414359508,0.460658178,0.750035371,0.142834044,0.032738103,-0.255176842,0.712045569
6,B6R4,7.875,u1,red,20,43161.182,38874.297,13649.779,95685.258,0.142652894,0.406272584,0.451074522,0.714694211,0.166388728,0.031679754,-0.23353489,0.44160838
6,B6R4,7.875,u24,red,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,B6R4,7.875,u4,red,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,B7R1,10.03125,u5,red,0,3813.375,3129.686,3038.819,9981.88,0.304433534,0.313536729,0.382029738,0.391132933,0.437677128,0.048431871,-0.035394882,10.69454688
7,B7R1,10.03125,u23,red,5,8324.65,7100.786,5098.308,20523.744,0.248410232,0.345979077,0.405610692,0.503179537,0.330513056,0.042165919,-0.104009133,8.915653209
7,B7R1,10.03125,u26,red,10,24332.485,22443.799,11397.204,58173.488,0.195917494,0.385808033,0.418274472,0.608165012,0.243653472,0.022957239,-0.168299344,4.422721092
7,B7R1,10.03125,u13,red,15,29345.127,26785.345,11007.4,67137.872,0.163952173,0.398960292,0.437087535,0.672095654,0.19610382,0.026960032,-0.207448708,1.640266089
7,B7R1,10.03125,u24,red,20,47770.541,43427.913,17357.138,108555.592,0.159891699,0.400052288,0.440056013,0.680216603,0.190322722,0.028286905,-0.212421753,2.415973397
7,B7R1,10.03125,u2,red,25,44112.802,40240.672,16634.983,100988.457,0.164721628,0.398468035,0.436810338,0.670556745,0.197205666,0.027112102,-0.206506322,2.908163481
7,B7R1,10.03125,u6,red,30,47083.911,42636.301,17182.816,106903.028,0.160732734,0.398831556,0.44043571,0.678534531,0.191515553,0.029418579,-0.211391698,2.908707013
7,B7R2,13.3125,u15,red,0,2560.516,1836.399,1781.602,6178.517,0.288354309,0.297223266,0.414422425,0.423291382,0.405193641,0.082872321,-0.055087829,11.29446177
7,B7R2,13.3125,u8,red,5,6902.521,6082.357,5225.87,18210.748,0.286966247,0.333998197,0.379035556,0.426067507,0.402458152,0.031846222,-0.056787852,11.04293282
7,B7R2,13.3125,u3,red,10,23268.342,22121.897,16586.988,61977.227,0.267630367,0.356935895,0.375433738,0.464739266,0.365430726,0.01307995,-0.080469371,9.855050864
7,B7R2,13.3125,u20,red,15,33117.827,30878.294,18060.272,82056.393,0.220095855,0.376305768,0.403598377,0.559808289,0.282208855,0.019298788,-0.13868702,6.932636685
7,B7R2,13.3125,u26,red,20,41722.405,39468.819,25995.745,107186.969,0.242527102,0.368224042,0.389248855,0.514945795,0.320179247,0.014866788,-0.111214466,7.324404527
7,B7R2,13.3125,u21,red,25,43482.844,40727.082,24580.945,108790.871,0.225946762,0.374361209,0.399692029,0.548106477,0.291900803,0.017911595,-0.131521153,7.833831755
7,B7R2,13.3125,u8,red,30,53633.526,49372.707,26494.202,129500.435,0.204587745,0.381255144,0.414157111,0.59082451,0.257209697,0.023265204,-0.157680499,6.115245944
8,B8R1,7.09375,u17,red,0,8236.842,7345.51,6180.6,21762.952,0.283996399,0.337523604,0.378479997,0.432007202,0.396641021,0.028960543,-0.060425157,9.569552133
8,B8R1,7.09375,u2,red,5,32610.793,31019.522,20678.176,84308.491,0.245268012,0.367928801,0.386803187,0.509463976,0.324973654,0.013346206,-0.10785755,8.222989991
8,B8R1,7.09375,u15,red,10,27420.893,25400.719,12889.948,65711.56,0.196159519,0.386548714,0.417291767,0.607680962,0.244027918,0.021738622,-0.168002926,4.839886791
8,B8R1,7.09375,u5,red,15,36532.472,33119.453,13408.553,83060.478,0.161431204,0.398739013,0.439829783,0.677137591,0.192508003,0.029055562,-0.210536251,1.551534795
8,B8R1,7.09375,u8,red,20,38478.155,34461.041,11959.119,84898.315,0.140864032,0.405909599,0.453226369,0.718271935,0.163960115,0.033458009,-0.235725789,1.341597626
8,B8R1,7.09375,u21,red,25,33769.114,29897.078,8229.656,71895.848,0.11446636,0.415838728,0.469694912,0.771067281,0.129262576,0.038082073,-0.268056203,0.957898535
8,B8R1,7.09375,u16,red,30,54500.108,48529.064,14120.528,117149.7,0.120534052,0.414248299,0.465217649,0.758931897,0.137053688,0.036040773,-0.260624829,1.976257993
8,B8R2,7.375,u6,red,0,7184.588,6169.432,4890.32,18244.34,0.268045871,0.338155943,0.393798186,0.463908259,0.366205832,0.039345007,-0.079960485,10.03764177
8,B8R2,7.375,u16,red,5,28615.013,27325.302,18405.902,74346.217,0.247570122,0.367541256,0.384888622,0.504859756,0.3290275,0.01226644,-0.105038053,7.409497647
8,B8R2,7.375,u16,red,10,29141.682,26723.812,12310.21,68175.704,0.180565939,0.391984394,0.427449667,0.638868122,0.220354446,0.025077736,-0.187101083,3.156742288
8,B8R2,7.375,u7,red,15,35600.647,32658.121,14573.549,82832.317,0.175940376,0.394267868,0.429791756,0.648119248,0.213504425,0.025119183,-0.192766217,2.799084562
8,B8R2,7.375,u16,red,20,39870.573,35939.937,12966.854,88777.364,0.146060363,0.404832216,0.449107421,0.707879274,0.17104296,0.031307298,-0.22936161,0.575244023
8,B8R2,7.375,u26,red,25,44870.91,40462.676,14497.643,99831.229,0.145221522,0.405310807,0.449467671,0.709556956,0.169893751,0.031223618,-0.230388976,0.672879732
8,B8R2,7.375,u25,red,30,53853.03,48840.947,19684.029,122378.006,0.160846133,0.399099059,0.440054809,0.678307734,0.191676567,0.028960088,-0.211252814,2.302304756
8,B8R3,6.46875,u9,red,0,9551.711,8587.385,6992.053,25131.149,0.278222575,0.341702841,0.380074584,0.443554849,0.385468658,0.02713292,-0.067496618,8.781496823
8,B8R3,6.46875,u21,red,5,31888.022,31277.18,25813.483,88978.685,0.290108614,0.351513174,0.358378212,0.419782772,0.408666199,0.004854314,-0.052939253,11.40264635
8,B8R3,6.46875,u22,red,10,39057.451,38387.147,31704.77,109149.368,0.290471402,0.351693718,0.35783488,0.419057195,0.409386462,0.004342458,-0.05249493,10.61029769
8,B8R3,6.46875,u18,red,15,45797.199,44673.033,36307.542,126777.774,0.286387281,0.352372751,0.361239968,0.427225438,0.401320315,0.006270069,-0.057496937,10.76006723
8,B8R3,6.46875,u12,red,20,51702.155,49242.684,36235.756,137180.595,0.264146369,0.358962461,0.37689117,0.471707263,0.35896591,0.012677512,-0.08473638,8.060721207
8,B8R3,6.46875,u23,red,25,49179.253,46871.143,35074.926,131125.322,0.267491629,0.357453025,0.375055346,0.465016742,0.365172112,0.01244672,-0.08063929,9.728773794
8,B8R3,6.46875,u2,red,30,63136.652,60075.926,45034.521,168247.099,0.26766893,0.35706961,0.37526146,0.46466214,0.365502627,0.012863581,-0.080422141,9.48965031
